"GMSL","year"
116.66,2024-12-12
115.25,2024-12-22
115.12,2025-01-01
116.28,2025-01-11
116.57,2025-01-21
116.85,2025-01-31
117.07,2025-02-10
116.45,2025-02-20
115.89,2025-03-02
114.95,2025-03-12
112.81,2025-03-22
113.41,2025-04-01
112.14,2025-04-11
112.23,2025-04-21
112.24,2025-05-01
112.28,2025-05-11
110.83,2025-05-21
112.51,2025-05-31
111.72,2025-06-10
111.57,2025-06-20
111.37,2025-06-30
112.39,2025-07-10
111.61,2025-07-20
111.33,2025-07-30
110.46,2025-08-09
109.83,2025-08-19
109.85,2025-08-29
109.29,2025-09-08
109.97,2025-09-18
110.82,2025-09-28
111.68,2025-10-08
111.21,2025-10-18
112.25,2025-10-28
113.93,2025-11-07
114.76,2025-11-17
115.59,2025-11-27
116.64,2025-12-07
117.9,2025-12-17
120.04,2025-12-27
118.62,2026-01-06
118.49,2026-01-16
119.65,2026-01-26
119.94,2026-02-05
120.22,2026-02-15
120.45,2026-02-25
119.82,2026-03-07
119.26,2026-03-17
118.33,2026-03-27
116.19,2026-04-06
116.78,2026-04-16
115.51,2026-04-26
115.6,2026-05-06
115.62,2026-05-16
115.65,2026-05-26
114.2,2026-06-05
115.88,2026-06-15
115.09,2026-06-25
114.94,2026-07-05
114.74,2026-07-15
115.77,2026-07-25
114.99,2026-08-04
114.7,2026-08-14
113.83,2026-08-24
113.2,2026-09-03
113.22,2026-09-13
112.66,2026-09-23
113.34,2026-10-03
114.19,2026-10-13
115.06,2026-10-23
114.58,2026-11-02
115.62,2026-11-12
117.31,2026-11-22
118.13,2026-12-02
118.96,2026-12-12
120.01,2026-12-22
121.27,2027-01-01
123.41,2027-01-11
121.99,2027-01-21
121.86,2027-01-31
123.03,2027-02-10
123.31,2027-02-20
123.59,2027-03-02
123.82,2027-03-12
123.19,2027-03-22
122.63,2027-04-01
121.7,2027-04-11
119.56,2027-04-21
120.15,2027-05-01
118.88,2027-05-11
118.98,2027-05-21
118.99,2027-05-31
119.02,2027-06-10
117.58,2027-06-20
119.26,2027-06-30
118.47,2027-07-10
118.31,2027-07-20
